Timestamp,Function,Best_Fitness,w,c1,c2
2026-03-28 11:10:46,sphere,3.0604643316821136e-174,0.4,1.0,1.0
2026-03-28 11:10:46,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 11:10:46,rosenbrock,6.9143658342621685e-28,0.4,1.5,1.0
2026-03-28 11:10:46,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 11:20:15,sphere,6.30309542662109e-176,0.4,1.0,1.0
2026-03-28 11:20:15,rastrigin,0.0,0.4,1.5,1.5
2026-03-28 11:20:15,rosenbrock,3.2995882297905566e-26,0.65,1.5,1.0
2026-03-28 11:20:15,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 11:23:58,sphere,8.71900714457237e-175,0.4,1.0,1.0
2026-03-28 11:23:58,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 11:23:58,rosenbrock,8.411229401919036e-29,0.4,1.0,2.0
2026-03-28 11:23:58,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 11:57:36,sphere,3.7684711653048986e-173,0.4,1.0,1.0
2026-03-28 11:57:36,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 11:57:36,rosenbrock,2.4396963165111818e-23,0.65,1.0,1.5
2026-03-28 11:57:36,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 11:58:27,sphere,1.8328499797358198e-176,0.4,1.0,1.0
2026-03-28 11:58:27,rastrigin,0.0,0.4,1.0,1.5
2026-03-28 11:58:27,rosenbrock,0.0,0.4,1.0,1.0
2026-03-28 11:58:27,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:39:23,sphere,7.272353611391866e-38,0.4,1.0,1.0
2026-03-28 12:39:23,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 12:39:23,rosenbrock,1.3124350871979206e-13,0.4,1.0,1.0
2026-03-28 12:39:23,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:41:01,sphere,4.270692563320345e-36,0.4,1.0,1.0
2026-03-28 12:41:01,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 12:41:01,rosenbrock,3.3905009928927663e-11,0.4,1.0,1.0
2026-03-28 12:41:01,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:42:45,sphere,6.480273983078884e-38,0.4,1.0,1.0
2026-03-28 12:42:45,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 12:42:45,rosenbrock,9.273754836742991e-12,0.4,1.5,1.5
2026-03-28 12:42:45,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:50:53,sphere,1.8784643516440418e-36,0.4,1.0,1.0
2026-03-28 12:50:53,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 12:50:53,rosenbrock,1.4812395789596826e-11,0.4,1.5,1.0
2026-03-28 12:50:53,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:56:09,sphere,8.150773680943507e-36,0.4,1.0,1.0
2026-03-28 12:56:09,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 12:56:09,rosenbrock,1.018368674286534e-10,0.4,1.0,2.0
2026-03-28 12:56:09,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:57:55,sphere,9.222236790100577e-37,0.4,1.0,1.0
2026-03-28 12:57:55,rastrigin,0.0,0.4,1.0,1.5
2026-03-28 12:57:55,rosenbrock,6.2429693920674e-11,0.4,1.0,1.0
2026-03-28 12:57:55,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 12:59:34,sphere,5.785123094713132e-37,0.4,1.0,1.0
2026-03-28 12:59:34,rastrigin,0.0,0.4,1.0,1.5
2026-03-28 12:59:34,rosenbrock,2.4164741923213136e-10,0.65,1.0,1.0
2026-03-28 12:59:34,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 13:02:41,sphere,3.5439260532548914e-38,0.4,1.0,1.0
2026-03-28 13:02:41,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 13:02:41,rosenbrock,1.526045728466132e-13,0.4,1.5,1.5
2026-03-28 13:02:41,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 13:33:17,sphere,1.3741437026016175e-37,0.4,1.0,1.0
2026-03-28 13:33:17,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 13:33:17,rosenbrock,2.28241794953676e-13,0.4,1.0,1.5
2026-03-28 13:33:17,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 13:33:47,sphere,1.0845028505308636e-36,0.4,1.0,1.0
2026-03-28 13:33:47,rastrigin,7.105427357601002e-15,0.4,1.0,3.0
2026-03-28 13:33:47,rosenbrock,4.302054292803193e-09,0.65,1.0,1.0
2026-03-28 13:33:47,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 19:11:49,sphere,9.487866418054974e-37,0.4,1.0,1.0
2026-03-28 19:11:49,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 19:11:49,rosenbrock,9.355602751086248e-11,0.65,1.0,1.0
2026-03-28 19:11:49,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 19:13:55,sphere,1.566655309452454e-37,0.4,1.0,1.0
2026-03-28 19:13:55,rastrigin,3.552713678800501e-15,0.4,3.0,1.0
2026-03-28 19:13:55,rosenbrock,5.077760893697704e-10,0.65,1.0,1.0
2026-03-28 19:13:55,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 19:16:18,sphere,1.1505935644100932e-176,0.4,1.0,1.0
2026-03-28 19:16:18,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 19:16:18,rosenbrock,1.6763294235946497e-30,0.65,1.0,1.0
2026-03-28 19:16:18,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 19:17:58,sphere,1.4536517954640879e-33,0.4,1.0,1.0
2026-03-28 19:17:58,rastrigin,1.3500311979441906e-13,0.4,3.0,1.0
2026-03-28 19:17:58,rosenbrock,0.0516812705358658,0.65,1.0,1.0
2026-03-28 19:17:58,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 19:33:53,sphere,7.500060911738701e-34,0.4,1.0,1.0
2026-03-28 19:33:53,rastrigin,3.564481278317544e-05,0.4,3.0,1.0
2026-03-28 19:33:53,rosenbrock,0.0062723975281977,0.4,3.0,1.0
2026-03-28 19:33:53,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 20:02:49,sphere,2.0227221727378854e-36,0.4,1.0,1.0
2026-03-28 20:02:49,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 20:02:49,rosenbrock,7.221502697972757e-09,0.65,1.0,1.0
2026-03-28 20:02:49,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 20:04:31,sphere,7.528791673104919e-36,0.4,1.0,1.0
2026-03-28 20:04:31,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 20:04:31,rosenbrock,4.040490066761178e-07,0.4,3.0,1.0
2026-03-28 20:04:31,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-28 22:23:05,sphere,3.668786684323265e-37,0.4,1.0,1.0
2026-03-28 22:23:05,rastrigin,0.0,0.4,1.0,1.0
2026-03-28 22:23:05,rosenbrock,1.5423500527482346e-09,0.65,1.0,1.0
2026-03-28 22:23:05,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:01:25,sphere,4.6388255530704674e-37,0.4,1.0,1.0
2026-03-29 12:01:25,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:01:25,rosenbrock,3.77235330315285e-10,0.4,1.0,1.0
2026-03-29 12:01:25,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:03:02,sphere,5.650304115858015e-37,0.4,1.0,1.0
2026-03-29 12:03:02,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:03:02,rosenbrock,5.5690800882213734e-14,0.4,1.0,1.0
2026-03-29 12:03:02,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:11:26,sphere,1.2286339416095627e-39,0.4,1.0,1.0
2026-03-29 12:11:26,rastrigin,0.0,0.65,1.0,1.0
2026-03-29 12:11:26,rosenbrock,8.366230477844208e-14,0.65,1.0,1.0
2026-03-29 12:11:26,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:12:27,sphere,8.84251614109107e-39,0.4,1.0,1.0
2026-03-29 12:12:27,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:12:27,rosenbrock,1.15175035040232e-13,0.4,1.0,1.0
2026-03-29 12:12:27,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:15:15,sphere,8.637474148247082e-36,0.4,1.0,1.0
2026-03-29 12:15:15,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:15:15,rosenbrock,3.097799944657312e-09,0.65,1.0,1.0
2026-03-29 12:15:15,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:19:28,sphere,9.07021785481082e-39,0.4,1.0,1.0
2026-03-29 12:19:28,rastrigin,7.105427357601002e-15,0.4,3.0,1.0
2026-03-29 12:19:28,rosenbrock,1.2522910554780704e-07,0.65,1.0,1.0
2026-03-29 12:19:28,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:21:18,sphere,7.866833358707631e-37,0.4,1.0,1.0
2026-03-29 12:21:18,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:21:18,rosenbrock,8.049685434877837e-08,0.4,1.0,3.0
2026-03-29 12:21:18,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:21:40,sphere,6.739884929224818e-37,0.4,1.0,1.0
2026-03-29 12:21:40,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:21:40,rosenbrock,1.3813674698818804e-07,0.65,1.0,1.0
2026-03-29 12:21:40,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:24:23,sphere,1.9591207399568783e-36,0.4,1.0,1.0
2026-03-29 12:24:23,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:24:23,rosenbrock,1.213905230291924e-07,0.4,3.0,1.0
2026-03-29 12:24:23,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:24:43,sphere,6.154078749560171e-37,0.4,1.0,1.0
2026-03-29 12:24:43,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:24:43,rosenbrock,4.827803611495622e-10,0.4,1.0,1.0
2026-03-29 12:24:43,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:26:26,sphere,8.222446920709242e-37,0.4,1.0,1.0
2026-03-29 12:26:26,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:26:26,rosenbrock,1.8377662700803404e-07,0.4,1.0,1.0
2026-03-29 12:26:26,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:26:46,sphere,4.009007269315736e-36,0.4,1.0,1.0
2026-03-29 12:26:46,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:26:46,rosenbrock,1.1138039166712468e-08,0.65,1.0,1.0
2026-03-29 12:26:46,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:27:06,sphere,2.037308636587641e-37,0.4,1.0,1.0
2026-03-29 12:27:06,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:27:06,rosenbrock,1.0461839417693065e-13,0.4,1.0,1.0
2026-03-29 12:27:06,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:29:55,sphere,1.7510910334242448e-36,0.4,1.0,1.0
2026-03-29 12:29:55,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:29:55,rosenbrock,4.163478580410168e-07,0.4,3.0,1.0
2026-03-29 12:29:55,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:46:43,sphere,6.903798982859874e-37,0.4,1.0,1.0
2026-03-29 12:46:43,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:46:43,rosenbrock,4.357319057859826e-11,0.4,1.0,1.0
2026-03-29 12:46:43,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:47:47,sphere,4.617269039463359e-36,0.4,1.0,1.0
2026-03-29 12:47:47,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:47:47,rosenbrock,1.5579178901996165e-11,0.4,1.0,1.0
2026-03-29 12:47:47,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:52:49,sphere,4.138545370506497e-36,0.4,1.0,1.0
2026-03-29 12:52:49,rastrigin,0.0,0.4,1.0,1.0
2026-03-29 12:52:49,rosenbrock,1.2654471123070021e-08,0.65,1.0,1.0
2026-03-29 12:52:49,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-03-29 12:53:23,sphere,1.0348299999054297e-36,0.4,1.0,1.0
2026-03-29 12:53:23,rastrigin,3.552713678800501e-15,0.4,3.0,1.0
2026-03-29 12:53:23,rosenbrock,5.851701700690707e-08,0.65,1.0,1.0
2026-03-29 12:53:23,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-04-01 16:50:03,sphere,9.156094552034916e-38,0.4,1.0,1.0
2026-04-01 16:50:03,rastrigin,0.0,0.4,1.0,1.0
2026-04-01 16:50:03,rosenbrock,7.666993983990325e-06,0.4,3.0,1.0
2026-04-01 16:50:03,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-04-01 17:57:30,sphere,1.655463517438961e-36,0.4,1.0,1.0
2026-04-01 17:57:30,rastrigin,0.0,0.4,1.0,1.0
2026-04-01 17:57:30,rosenbrock,7.021158437760842e-09,0.4,1.0,3.0
2026-04-01 17:57:30,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-04-06 12:50:09,sphere,4.500307556533805e-37,0.4,1.0,1.0
2026-04-06 12:50:09,rastrigin,0.0,0.4,3.0,1.0
2026-04-06 12:50:09,rosenbrock,2.7058005980432743e-06,0.65,1.0,1.0
2026-04-06 12:50:09,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-04-07 09:06:47,sphere,1.243610101084374e-33,0.4,1.0,1.0
2026-04-07 09:06:47,rastrigin,0.0,0.4,1.0,1.0
2026-04-07 09:06:47,rosenbrock,0.0220309635857019,0.65,1.0,1.0
2026-04-07 09:06:47,ackley,3.9968028886505635e-15,0.4,1.0,1.0
